         20998046 function calls (20938228 primitive calls) in 12.695 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1440    4.662    0.003   12.351    0.009 graph_abs.py:201(execute)
   235828    0.850    0.000    0.850    0.000 {method 'normal' of 'numpy.random.mtrand.RandomState' objects}
   175429    0.606    0.000    1.318    0.000 agents.py:331(move_freely)
  1036992    0.570    0.000    0.810    0.000 graph_abs.py:283(contact)
   921229    0.507    0.000    2.508    0.000 typeof.py:23(typeof)
     1020    0.468    0.000    2.959    0.003 graph_abs.py:11(calc_contacts)
    82810    0.420    0.000    0.782    0.000 agents.py:293(move_to_work)
921234/921229    0.417    0.000    1.700    0.000 functools.py:870(wrapper)
  3532565    0.373    0.000    0.376    0.000 graph_abs.py:48(callback)
   921234    0.365    0.000    0.633    0.000 functools.py:814(dispatch)
  2449251    0.295    0.000    0.295    0.000 graph_abs.py:242(<lambda>)
  2283637    0.285    0.000    0.285    0.000 abs.py:11(distance)
   614074    0.276    0.000    0.426    0.000 utils.py:366(bit_length)
     2455    0.226    0.000    0.226    0.000 ffi.py:111(__call__)
   923223    0.208    0.000    0.213    0.000 weakref.py:382(__getitem__)
   614074    0.188    0.000    0.613    0.000 typeof.py:116(_typeof_int)
   922562    0.120    0.000    0.120    0.000 {built-in method __new__ of type object at 0x00007FFC850CB810}
    16548    0.116    0.000    0.222    0.000 agents.py:313(move_to_home)
   306000    0.096    0.000    0.096    0.000 graph_abs.py:221(<lambda>)
   107205    0.093    0.000    0.093    0.000 graph_abs.py:314(<genexpr>)
     3063    0.088    0.000    0.088    0.000 graph_abs.py:325(<listcomp>)
    30092    0.081    0.000    0.081    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
    48968    0.075    0.000    0.096    0.000 agents.py:95(checkin)
     4084    0.070    0.000    0.070    0.000 graph_abs.py:322(<listcomp>)
   614074    0.067    0.000    0.067    0.000 {built-in method builtins.bin}
   921234    0.062    0.000    0.062    0.000 {built-in method _abc.get_cache_token}
   809561    0.060    0.000    0.065    0.000 {built-in method builtins.isinstance}
     8178    0.057    0.000    0.057    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1020    0.043    0.000    0.043    0.000 graph_abs.py:270(<listcomp>)
630928/630906    0.041    0.000    0.041    0.000 {built-in method builtins.len}
   170293    0.040    0.000    0.059    0.000 enum.py:646(__hash__)
     2917    0.037    0.000    0.470    0.000 graph_abs.py:307(get_statistics)
   307024    0.035    0.000    0.035    0.000 typeof.py:104(_typeof_bool)
     9825    0.029    0.000    0.093    0.000 agents.py:78(supply)
    25812    0.028    0.000    0.034    0.000 agents.py:209(demand)
    16544    0.023    0.000    0.033    0.000 agents.py:362(update)
      668    0.021    0.000    0.021    0.000 win32.py:92(_winapi_test)
     5105    0.021    0.000    0.113    0.000 {built-in method builtins.sum}
178809/176410    0.020    0.000    0.022    0.000 {built-in method builtins.hash}
    16047    0.020    0.000    0.043    0.000 agents.py:202(checkin)
26410/5168    0.019    0.000    0.027    0.000 ir.py:313(_rec_list_vars)
    66314    0.018    0.000    0.018    0.000 agents.py:33(cash)
34072/18672    0.018    0.000    0.058    0.000 {method 'format' of 'str' objects}
     1020    0.018    0.000    0.018    0.000 graph_abs.py:268(<listcomp>)
     8178    0.015    0.000    0.081    0.000 fromnumeric.py:70(_wrapreduction)
    13283    0.015    0.000    0.225    0.000 fromnumeric.py:2105(sum)
     1020    0.014    0.000    0.014    0.000 graph_abs.py:269(<listcomp>)
     5108    0.014    0.000    0.014    0.000 {built-in method _warnings.warn}
