         55880329 function calls (55871021 primitive calls) in 89.639 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1440   79.393    0.055   89.036    0.062 graph_abs.py:190(execute)
 45054142    4.737    0.000    4.737    0.000 abs.py:11(distance)
   247273    0.911    0.000    0.911    0.000 {method 'normal' of 'numpy.random.mtrand.RandomState' objects}
  1230824    0.685    0.000    1.017    0.000 graph_abs.py:278(contact)
   178246    0.616    0.000    1.355    0.000 agents.py:331(move_freely)
   307025    0.575    0.000    0.575    0.000 {built-in method numpy.arange}
    84238    0.469    0.000    0.880    0.000 agents.py:293(move_to_work)
  3990248    0.433    0.000    0.438    0.000 graph_abs.py:37(callback)
  2515122    0.292    0.000    0.292    0.000 graph_abs.py:231(<lambda>)
    67868    0.180    0.000    0.180    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
    16828    0.121    0.000    0.232    0.000 agents.py:313(move_to_home)
   107205    0.108    0.000    0.108    0.000 graph_abs.py:309(<genexpr>)
     3063    0.086    0.000    0.086    0.000 graph_abs.py:320(<listcomp>)
    55648    0.086    0.000    0.110    0.000 agents.py:95(checkin)
   306000    0.083    0.000    0.083    0.000 graph_abs.py:210(<lambda>)
     4084    0.080    0.000    0.080    0.000 graph_abs.py:317(<listcomp>)
    21976    0.068    0.000    0.211    0.000 agents.py:78(supply)
     8178    0.068    0.000    0.068    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   623079    0.055    0.000    0.055    0.000 {method 'append' of 'list' objects}
     2903    0.044    0.000    0.532    0.000 graph_abs.py:302(get_statistics)
    38392    0.043    0.000    0.053    0.000 agents.py:209(demand)
   174614    0.042    0.000    0.061    0.000 enum.py:646(__hash__)
     1440    0.037    0.000   89.609    0.062 no_graphics.py:28(update)
      756    0.031    0.000    0.031    0.000 ffi.py:111(__call__)
    85175    0.024    0.000    0.024    0.000 agents.py:33(cash)
    16818    0.023    0.000    0.033    0.000 agents.py:362(update)
     5105    0.022    0.000    0.130    0.000 {built-in method builtins.sum}
     5105    0.021    0.000    0.021    0.000 {built-in method _warnings.warn}
    16476    0.020    0.000    0.044    0.000 agents.py:202(checkin)
175581/175557    0.019    0.000    0.019    0.000 {built-in method builtins.hash}
     8178    0.017    0.000    0.094    0.000 fromnumeric.py:70(_wrapreduction)
    13283    0.017    0.000    0.263    0.000 fromnumeric.py:2105(sum)
   102000    0.015    0.000    0.015    0.000 graph_abs.py:242(<lambda>)
14581/14137    0.012    0.000    0.280    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    21916    0.012    0.000    0.044    0.000 agents.py:279(demand)
    13283    0.009    0.000    0.285    0.000 <__array_function__ internals>:2(sum)
    11813    0.006    0.000    0.006    0.000 {method 'random' of 'numpy.random.mtrand.RandomState' objects}
    41351    0.006    0.000    0.006    0.000 {method 'startswith' of 'str' objects}
      184    0.006    0.000    0.006    0.000 win32.py:92(_winapi_test)
     6000    0.006    0.000    0.008    0.000 agents.py:240(update)
9853/7599    0.005    0.000    0.011    0.000 {method 'format' of 'str' objects}
     1462    0.005    0.000    0.009    0.000 abs.py:321(<dictcomp>)
    45528    0.005    0.000    0.006    0.000 {built-in method builtins.isinstance}
10358/10346    0.004    0.000    0.004    0.000 {built-in method builtins.getattr}
      535    0.004    0.000    0.007    0.000 agents.py:186(append_mate)
     7147    0.004    0.000    0.005    0.000 types.py:171(__get__)
     1441    0.004    0.000    0.536    0.000 no_graphics.py:19(update_statistics)
     1441    0.004    0.000    0.006    0.000 abs.py:323(<dictcomp>)
     8178    0.004    0.000    0.004    0.000 fromnumeric.py:71(<dictcomp>)
    10210    0.004    0.000    0.004    0.000 enum.py:352(<genexpr>)
 4648/790    0.003    0.000    0.005    0.000 ir.py:313(_rec_list_vars)
     1021    0.003    0.000    0.003    0.000 graph_abs.py:312(<listcomp>)
     2903    0.003    0.000    0.018    0.000 abs.py:319(filter_stats)
        1    0.003    0.003    0.029    0.029 graph_abs.py:89(initialize)
     2042    0.002    0.000    0.002    0.000 enum.py:351(__iter__)
     1440    0.002    0.000    0.004    0.000 <ipython-input-2-e9d626f85c55>:14(sleep)
    13283    0.002    0.000    0.002    0.000 fromnumeric.py:2100(_sum_dispatcher)
    11645    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
