         64548025 function calls (64512997 primitive calls) in 110.192 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 48294964   63.771    0.000   63.771    0.000 abs.py:9(distance)
     1440   37.234    0.026  105.962    0.074 graph_abs.py:190(execute)
    20174    0.971    0.000    1.058    0.000 {pandas._libs.lib.maybe_convert_objects}
   271046    0.912    0.000    0.912    0.000 {method 'normal' of 'numpy.random.mtrand.RandomState' objects}
  1405232    0.759    0.000    1.040    0.000 graph_abs.py:278(contact)
   191709    0.673    0.000    1.435    0.000 agents.py:331(move_freely)
   309907    0.582    0.000    0.582    0.000 {built-in method numpy.arange}
    90300    0.497    0.000    0.918    0.000 agents.py:293(move_to_work)
  4450011    0.485    0.000    0.491    0.000 graph_abs.py:37(callback)
     2882    0.430    0.000    0.430    0.000 {pandas._libs.lib.dicts_to_array}
  2754000    0.329    0.000    0.329    0.000 graph_abs.py:231(<lambda>)
     2882    0.232    0.000    0.232    0.000 construction.py:643(<listcomp>)
  1063186    0.181    0.000    0.323    0.000 {built-in method builtins.isinstance}
    18000    0.125    0.000    0.239    0.000 agents.py:313(move_to_home)
   107205    0.105    0.000    0.105    0.000 graph_abs.py:309(<genexpr>)
   492822    0.100    0.000    0.134    0.000 generic.py:10(_check)
    60816    0.091    0.000    0.117    0.000 agents.py:95(checkin)
   306000    0.090    0.000    0.090    0.000 graph_abs.py:210(<lambda>)
    22324    0.087    0.000    0.087    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
     3063    0.081    0.000    0.081    0.000 graph_abs.py:320(<listcomp>)
     4084    0.070    0.000    0.070    0.000 graph_abs.py:317(<listcomp>)
5764/2882    0.069    0.000    0.363    0.000 base.py:293(__new__)
    20174    0.065    0.000    0.069    0.000 cast.py:1308(maybe_cast_to_datetime)
     8178    0.064    0.000    0.064    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     2882    0.063    0.000    0.659    0.000 managers.py:1715(form_blocks)
   749863    0.061    0.000    0.061    0.000 {method 'append' of 'list' objects}
    20388    0.061    0.000    0.195    0.000 agents.py:78(supply)
   755060    0.059    0.000    0.059    0.000 {built-in method builtins.getattr}
    20174    0.058    0.000    0.358    0.000 construction.py:390(sanitize_array)
    23056    0.056    0.000    0.390    0.000 blocks.py:2655(get_block_type)
   191709    0.050    0.000    0.071    0.000 enum.py:646(__hash__)
   118162    0.049    0.000    0.219    0.000 base.py:256(is_dtype)
    80696    0.048    0.000    0.120    0.000 common.py:1460(is_extension_array_dtype)
     1440    0.048    0.000  110.158    0.076 no_graphics.py:33(update)
    38328    0.045    0.000    0.054    0.000 agents.py:209(demand)
     2882    0.044    0.000    0.517    0.000 graph_abs.py:302(get_statistics)
     2882    0.043    0.000    1.880    0.001 construction.py:609(_list_of_dict_to_arrays)
    25938    0.042    0.000    0.112    0.000 _dtype.py:321(_name_get)
     2882    0.041    0.000    0.076    0.000 {pandas._libs.lib.clean_index_list}
    80696    0.041    0.000    0.059    0.000 base.py:413(find)
    55424    0.036    0.000    0.036    0.000 {built-in method numpy.array}
159032/127330    0.035    0.000    0.044    0.000 {built-in method builtins.len}
34123/33679    0.034    0.000    0.297    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    20174    0.034    0.000    0.130    0.000 cast.py:1185(maybe_castable)
   317020    0.031    0.000    0.031    0.000 {built-in method builtins.issubclass}
     2882    0.030    0.000    3.604    0.001 frame.py:441(__init__)
     2882    0.030    0.000    0.068    0.000 managers.py:1843(_stack_arrays)
    20174    0.027    0.000    1.154    0.000 construction.py:726(convert)
    20174    0.027    0.000    0.087    0.000 numeric.py:268(full)
     1441    0.026    0.000    4.150    0.003 no_graphics.py:19(update_statistics)
    25938    0.026    0.000    0.026    0.000 {built-in method numpy.empty}
    88806    0.025    0.000    0.025    0.000 agents.py:33(cash)
     7987    0.024    0.000    0.132    0.000 {built-in method builtins.sum}
    46112    0.023    0.000    0.040    0.000 common.py:1600(_is_dtype_type)
   203237    0.023    0.000    0.023    0.000 {built-in method builtins.hash}
    31702    0.023    0.000    0.082    0.000 dtypes.py:1116(is_dtype)
    23056    0.023    0.000    0.043    0.000 common.py:224(is_sparse)
     5105    0.021    0.000    0.021    0.000 {built-in method _warnings.warn}
    34584    0.021    0.000    0.088    0.000 common.py:530(is_categorical_dtype)
    18000    0.021    0.000    0.048    0.000 agents.py:202(checkin)
    20174    0.021    0.000    0.033    0.000 base.py:4083(__getitem__)
    31702    0.020    0.000    0.079    0.000 dtypes.py:903(is_dtype)
     2882    0.020    0.000    0.395    0.000 construction.py:329(_homogenize)
    34584    0.019    0.000    0.104    0.000 common.py:492(is_interval_dtype)
    34584    0.018    0.000    0.099    0.000 common.py:456(is_period_dtype)
     8178    0.017    0.000    0.091    0.000 fromnumeric.py:70(_wrapreduction)
    13283    0.017    0.000    0.258    0.000 fromnumeric.py:2105(sum)
    25938    0.017    0.000    0.024    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
    18000    0.016    0.000    0.020    0.000 agents.py:362(update)
   102000    0.016    0.000    0.016    0.000 graph_abs.py:242(<lambda>)
    25938    0.016    0.000    0.054    0.000 _dtype.py:307(_name_includes_bit_suffix)
    20174    0.016    0.000    0.038    0.000 numerictypes.py:360(issubdtype)
